tx_id,hit_rows,sessions_per_tx,revenue_sum_if_naive
ORD201703041515,50,1,2058.09
ORD201703041514,42,1,1616.33
ORD201705312661,30,1,480.0
ORD201703022050,24,1,1352.63
ORD201703041891,20,1,1241.57
ORD201703142587,16,1,936.71
ORD201612133278,16,1,162.31
ORD201610211869,16,1,502.79
ORD201702191651,16,1,969.7
ORD201703202224,14,1,3829.8
ORD201703181349,14,1,1239.64
ORD201610272091,12,1,648.0
ORD201608251639,12,1,6259.58
ORD201608251640,12,1,9257.74
ORD201611162499,12,1,1134.8
ORD201608262357,12,1,611.18
ORD201610211868,10,1,757.75
ORD201705022384,10,1,270.18
ORD201609281849,10,1,60.95
ORD201609131587,10,1,2779.44
