source,medium,sessions,purchase_sessions
analytics.google.com,referral,16172,0
sites.google.com,referral,2983,42
mail.google.com,referral,1457,62
groups.google.com,referral,1025,38
plus.google.com,referral,524,5
docs.google.com,referral,388,1
productforums.google.com,referral,364,0
optimize.google.com,referral,175,0
support.google.com,referral,101,0
hangouts.google.com,referral,83,0
adwords.google.com,referral,80,0
plus.url.google.com,referral,49,0
keep.google.com,referral,47,2
myactivity.google.com,referral,24,0
datastudio.google.com,referral,7,0
chat.google.com,referral,7,1
calendar.google.com,referral,5,1
inbox.google.com,referral,3,0
staging.talkgadget.google.com,referral,2,0
spaces.google.com,referral,2,0
cse.google.com,referral,1,0
myaccount.google.com,referral,1,0
takeout.google.com,referral,1,0
goto.google.com,referral,1,0
voice.google.com,referral,1,0
earth.google.com,referral,1,0
newsstand.google.com,referral,1,0
gsuite.google.com,referral,1,0
