tx_id,hitNumber,action_type,rev
ORD201608251640,138,6,470.73
ORD201608251640,139,6,
ORD201608251640,186,6,694.72
ORD201608251640,187,6,
ORD201608251640,323,6,2268.35
ORD201608251640,324,6,
ORD201608251640,367,6,2396.79
ORD201608251640,368,6,
ORD201608251640,415,6,1700.22
ORD201608251640,416,6,
ORD201608251640,459,6,1726.93
ORD201608251640,460,6,
ORD201703041515,37,6,72.96
ORD201703041515,38,6,
ORD201703041515,51,6,72.96
ORD201703041515,52,6,
ORD201703041515,70,6,72.96
ORD201703041515,71,6,
ORD201703041515,84,6,72.96
ORD201703041515,85,6,
ORD201703041515,103,6,72.96
ORD201703041515,104,6,
ORD201703041515,118,6,99.95
ORD201703041515,119,6,
ORD201703041515,154,6,80.96
ORD201703041515,155,6,
ORD201703041515,165,6,109.97
ORD201703041515,166,6,
ORD201703041515,174,6,104.98
ORD201703041515,175,6,
ORD201703041515,187,6,80.96
ORD201703041515,188,6,
ORD201703041515,205,6,84.96
ORD201703041515,206,6,
ORD201703041515,216,6,80.96
ORD201703041515,217,6,
ORD201703041515,230,6,80.96
ORD201703041515,231,6,
ORD201703041515,239,6,74.98
ORD201703041515,240,6,
ORD201703041515,252,6,80.96
ORD201703041515,253,6,
ORD201703041515,265,6,84.96
ORD201703041515,266,6,
ORD201703041515,279,6,84.96
ORD201703041515,280,6,
ORD201703041515,292,6,84.96
ORD201703041515,293,6,
ORD201703041515,353,6,64.98
ORD201703041515,354,6,
ORD201703041515,365,6,80.96
ORD201703041515,366,6,
ORD201703041515,377,6,79.97
ORD201703041515,378,6,
ORD201703041515,388,6,70.97
ORD201703041515,389,6,
ORD201703041515,401,6,79.97
ORD201703041515,402,6,
ORD201703041515,476,6,88.96
ORD201703041515,477,6,
ORD201703041515,489,6,92.96
ORD201703041515,490,6,
