channel,bucket,sessions,viewed_mono,purchases,cr_pct
Affiliates,сире джерело,16372,1859,9,0.055
Direct,приховані direct,142856,21670,2060,1.442
Display,сире джерело,6181,1458,141,2.281
Organic Search,приховані direct,147039,24505,1318,0.896
Organic Search,сире джерело,234098,38648,2125,0.908
Paid Search,приховані direct,12230,2254,226,1.848
Paid Search,сире джерело,13060,2887,243,1.861
Referral,приховані direct,68860,24315,5136,7.459
Referral,сире джерело,13975,1798,77,0.551
Social,сире джерело,224422,4598,61,0.027
