landing_page,sessions
/home,52031
/home-2,4615
/signin.html,3304
/basket.html,1504
/store.html,642
/google+redesign/apparel/men++s/men++s+t+shirts,234
/google+redesign/apparel/mens+outerwear/blm+sweatshirt.axd,222
/google+redesign/electronics,198
/google+redesign/apparel,184
/google+redesign/apparel/men++s/men++s+outerwear,171
/google+redesign/bags,169
/asearch.html,168
/google+redesign/shop+by+brand/google,156
/google+redesign/drinkware,141
/google+redesign/accessories/fun,136
/google+redesign/bags/water+bottles+and+tumblers,135
/google+redesign/bags/backpacks/home,131
/google+redesign/apparel/mens/mens+t+shirts,126
/google+redesign/shop+by+brand/youtube,118
/google+redesign/apparel/women+s/women+s+t+shirts,111
