grp,net_domain,sessions,purchases,cr_pct
бакет,(not set),53771,3780,7.03
бакет,comcast.net,5119,428,8.36
бакет,verizon.net,1348,203,15.06
бакет,unknown.unknown,1252,94,7.51
бакет,rr.com,862,99,11.48
бакет,comcastbusiness.net,666,53,7.96
бакет,sbcglobal.net,421,37,8.79
бакет,optonline.net,335,45,13.43
бакет,travelnet.mx,333,20,6.01
бакет,managed-otrs.com,276,15,5.43
бакет,rcn.com,226,40,17.7
бакет,cox.net,210,24,11.43
бакет,qwest.net,163,24,14.72
бакет,com,133,10,7.52
бакет,telepacific.net,126,6,4.76
решта,(not set),184783,2766,1.5
решта,unknown.unknown,141672,304,0.21
решта,comcast.net,22926,500,2.18
решта,rr.com,13704,267,1.95
решта,ttnet.com.tr,13192,1,0.01
решта,verizon.net,11975,264,2.2
решта,comcastbusiness.net,9058,250,2.76
решта,hinet.net,7134,11,0.15
решта,virginm.net,6287,1,0.02
решта,3bb.co.th,6021,1,0.02
решта,prod-infinitum.com.mx,5913,3,0.05
решта,cox.net,5492,130,2.37
решта,btcentralplus.com,5180,2,0.04
решта,att.net,5162,44,0.85
решта,google.com,5014,0,0.0
