variant,device,sessions,viewed_mono,cart_mono,checkout_mono,purchase_mono,viewed_strict,cart_strict,checkout_strict,purchase_strict
Referral без джерела,desktop,572564,73637,28974,11184,5247,69036,24153,8514,4071
Referral без джерела,mobile,207480,27326,8862,2661,849,25735,7200,1915,650
Referral без джерела,tablet,30267,3859,1316,380,166,3627,1072,277,122
без Social,desktop,443227,95450,40967,18689,10322,89498,34602,14642,8267
без Social,mobile,184993,25773,8399,2620,849,24389,6945,1894,650
без Social,tablet,26529,3666,1263,376,166,3457,1043,276,122
без обох,desktop,374832,70313,27862,10894,5193,66014,23347,8313,4036
без обох,mobile,184551,25733,8377,2612,844,24356,6930,1889,647
без обох,tablet,26506,3659,1260,373,164,3451,1041,274,121
усі,desktop,640959,98774,42079,18979,10376,92520,35408,14843,8302
усі,mobile,207922,27366,8884,2669,854,25768,7215,1920,653
усі,tablet,30290,3866,1319,383,168,3633,1074,279,123
